GDHI by combined authority and city region: total GDHI at current basic prices [note 1];;;;;;;;;;;;;;;;;;;;;;;;pounds million
Geo code;Area name;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;"2019 
[note 2]"
E61000001;Greater London Authority;91.968;95.716;103.140;112.813;117.826;120.797;125.727;132.864;142.446;150.241;163.124;170.883;172.433;176.787;179.265;192.797;205.489;216.700;235.581;242.647;245.642;260.634;271.155
E47000001;Greater Manchester Combined Authority;24.244;24.569;26.114;27.595;28.255;29.098;29.816;30.846;32.023;33.281;34.728;35.434;36.652;37.335;38.200;39.723;40.988;42.224;44.654;45.238;46.571;48.802;50.382
E47000002;Sheffield City Region;11.456;11.673;12.322;13.003;13.521;13.910;14.368;14.968;15.402;15.855;16.505;16.846;17.413;17.697;18.209;18.907;19.485;20.294;21.138;21.319;21.922;22.921;23.464
E47000003;West Yorkshire Combined Authority;20.010;20.406;21.359;22.811;23.308;23.976;24.736;25.682;26.551;27.424;28.927;29.470;30.107;30.592;31.296;32.352;33.527;34.500;36.444;36.784;37.725;39.462;40.462
E47000004;Liverpool City Region Combined Authority;14.129;14.296;14.963;15.688;16.057;16.576;17.099;17.677;18.240;18.786;19.632;19.997;20.911;21.267;21.593;22.411;23.101;23.653;24.769;25.082;25.634;26.603;27.315
E47000006;Tees Valley Combined Authority;6.015;5.899;6.176;6.571;6.875;6.994;7.154;7.444;7.738;8.023;8.249;8.438;8.810;8.946;9.159;9.568;9.711;10.042;10.368;10.508;10.735;11.077;11.357
E47000007;West Midlands Combined Authority;23.716;24.233;25.211;26.690;27.515;28.189;28.658;29.676;30.083;30.935;31.999;32.921;33.997;34.993;35.847;37.099;38.408;40.104;42.180;43.336;44.034;45.900;47.074
E47000008;Cambridgeshire and Peterborough Combined Authority;7.725;8.012;8.568;9.077;9.260;9.693;9.850;10.357;11.166;11.749;12.309;12.721;13.016;13.342;13.599;14.225;14.904;15.729;16.690;17.221;17.578;18.382;18.997
E47000009;West of England Combined Authority;8.838;9.096;9.600;10.055;10.316;10.483;10.782;11.142;11.644;12.331;12.942;13.457;13.506;13.976;14.436;14.937;15.654;16.337;17.649;18.142;18.533;19.688;20.457
E47000010;North East Combined Authority;10.162;10.254;10.588;11.194;11.568;11.791;12.041;12.592;12.923;13.319;13.767;14.028;14.575;15.053;15.328;15.987;16.395;16.775;17.464;17.679;18.009;18.560;18.987
E47000011;North of Tyne Combined Authority;7.674;7.803;8.015;8.492;8.801;9.034;9.363;9.764;9.891;10.347;10.670;11.064;11.617;11.852;12.030;12.583;12.865;13.173;13.764;13.976;14.249;14.823;15.301
W42000001;Cardiff Capital Region;13.034;13.104;13.849;14.981;15.464;16.031;16.623;17.282;17.743;18.359;19.171;19.945;19.961;20.443;20.953;21.684;22.084;22.694;23.605;23.926;24.739;26.150;26.632
W42000002;Growing Mid Wales;1.790;1.793;1.890;2.024;2.104;2.183;2.305;2.446;2.547;2.686;2.749;2.897;2.917;3.033;3.087;3.181;3.213;3.264;3.340;3.351;3.474;3.628;3.662
W42000003;North Wales Economic Ambition Board;6.407;6.459;6.715;7.217;7.453;7.723;8.013;8.418;8.703;8.922;9.191;9.581;9.600;9.825;10.161;10.494;10.712;11.042;11.459;11.504;11.764;12.267;12.399
W42000004;Swansea Bay City Region;6.063;6.125;6.327;6.594;6.889;7.127;7.426;7.745;8.048;8.422;8.715;9.284;9.337;9.431;9.619;10.016;10.159;10.516;10.793;10.801;11.017;11.565;11.734
Not available;Aberdeen City Region;4.911;4.975;4.949;5.300;5.536;5.755;5.872;6.313;6.840;7.240;7.818;8.289;8.528;8.822;9.353;9.780;10.431;10.750;10.843;10.305;10.289;10.593;10.851
Not available;Ayrshires;3.279;3.311;3.387;3.629;3.850;4.041;4.198;4.446;4.591;4.783;5.044;5.207;5.288;5.504;5.608;5.741;5.957;6.051;6.208;6.230;6.280;6.488;6.654
Not available;Edinburgh and South East Scotland City Region;12.584;13.049;13.710;14.707;15.326;16.005;16.633;17.425;18.134;18.919;20.052;20.815;21.069;21.694;22.489;23.298;24.108;24.813;25.896;26.548;27.216;28.287;29.436
Not available;Glasgow City Region;16.737;17.051;17.897;19.121;19.818;20.587;21.027;21.737;22.544;23.332;24.698;25.697;26.032;26.410;26.950;27.736;28.408;29.198;30.494;31.067;31.688;32.838;33.804
Not available;Scottish Island Councils;612;621;635;660;677;701;722;778;820;857;936;1.006;1.081;1.126;1.156;1.187;1.214;1.252;1.310;1.314;1.318;1.369;1.438
